Date,Open,High,Low,Close,Adjusted_close,Volume
2006-12-18,1.5,1.5,1.5,1.5,1.5,10000
2006-12-19,2.24,2.24,2.24,2.24,2.24,17000
2006-12-20,3.35,3.35,3.35,3.35,3.35,26000
2006-12-21,4.9,5,4.85,5,5,876000
2006-12-22,5.1,6.4,5.1,5.4,5.4,2683000
2006-12-27,5.3,5.4,5,5,5,414000
2006-12-28,5,5,4.9,4.9,4.9,310000
2006-12-29,4.8,5,4.7,5,5,373000
2007-01-02,5,5,4.9,5,5,241000
2007-01-03,4.8,5.1,4.8,5.1,5.1,183000
2007-01-04,5,5.4,4.95,5.4,5.4,1165000
2007-01-05,5.5,5.8,5.5,5.6,5.6,1586000
2007-01-08,5.6,5.6,5.4,5.4,5.4,284000
2007-01-09,5.6,5.6,5.3,5.3,5.3,115000
2007-01-10,5.4,5.4,5.3,5.3,5.3,126000
2007-01-11,5.3,5.5,5.3,5.5,5.5,402000
2007-01-12,5.4,5.4,5.3,5.3,5.3,258000
2007-01-15,5.3,5.5,5.3,5.3,5.3,161000
2007-01-16,5.3,5.3,5.3,5.3,5.3,104000
2007-01-17,5.4,5.4,5.3,5.3,5.3,79000
2007-01-18,5.2,5.2,5.2,5.2,5.2,60000
2007-01-19,5.1,5.1,5.1,5.1,5.1,153000
2007-01-22,5.2,5.2,5.2,5.2,5.2,25000
2007-01-23,5.2,5.2,5.1,5.1,5.1,399000
2007-01-24,5.1,5.1,4.95,5,5,220000
2007-01-25,4.95,5,4.95,4.95,4.95,176000
2007-01-26,4.8,4.85,4.8,4.8,4.8,145000
2007-01-29,4.8,4.8,4.8,4.8,4.8,127000
2007-01-30,4.8,4.8,4.6,4.6,4.6,392000
2007-01-31,4.7,4.7,4.65,4.7,4.7,183000
2007-02-01,4.7,4.75,4.7,4.75,4.75,96000
2007-02-02,4.8,5.2,4.8,5.1,5.1,250000
2007-02-05,5.1,5.2,5.1,5.2,5.2,111000
2007-02-06,5.2,5.2,5,5,5,223000
2007-02-07,4.9,4.95,4.9,4.9,4.9,123000
2007-02-08,4.9,4.9,4.9,4.9,4.9,127000
2007-02-09,5,5,4.9,4.9,4.9,225000
2007-02-12,4.8,4.8,4.8,4.8,4.8,340000
2007-02-13,4.6,4.7,4.6,4.7,4.7,153000
2007-02-14,4.8,4.8,4.7,4.8,4.8,56000
2007-02-15,4.8,5.1,4.8,5.1,5.1,677000
2007-02-16,5.2,5.5,5,5.2,5.2,1446000
2007-02-19,5.2,5.2,5,5,5,128000
2007-02-20,5,5,4.9,4.9,4.9,53000
2007-02-21,5,5.1,4.9,5,5,221000
2007-02-22,5,5,4.9,4.9,4.9,220000
2007-02-23,5,5.1,4.9,5.1,5.1,348000
2007-02-26,5,5,4.8,4.95,4.95,450000
2007-02-27,4.8,4.95,4.8,4.8,4.8,173000
2007-02-28,3.25,4.7,3.25,4.6,4.6,120000
2007-03-01,4.8,4.9,4.7,4.8,4.8,168000
2007-03-02,4.8,4.8,4.4,4.4,4.4,108000
2007-03-05,4.4,4.5,4.4,4.4,4.4,95000
2007-03-06,4.45,4.45,4.2,4.2,4.2,18000
2007-03-07,4.5,4.5,4.3,4.4,4.4,42000
2007-03-08,4.5,4.5,4.3,4.3,4.3,24000
2007-03-09,4.3,4.3,4.3,4.3,4.3,4000
2007-03-12,4.3,4.3,4.3,4.3,4.3,13000
2007-03-13,4.5,4.5,4.5,4.5,4.5,44000
2007-03-14,4.5,4.5,4.5,4.5,4.5,1000
2007-03-15,4.5,4.5,4.5,4.5,4.5,73000
2007-03-16,4.45,4.5,4.4,4.45,4.45,138000
2007-03-19,4.5,4.55,4.5,4.5,4.5,30000
2007-03-20,4.6,4.7,4.6,4.7,4.7,18000
2007-03-21,4.5,4.5,4.5,4.5,4.5,10000
2007-03-22,4.5,4.5,4.5,4.5,4.5,130000
2007-03-23,4.6,4.6,4.6,4.6,4.6,75000
2007-03-26,4.6,4.6,4.5,4.5,4.5,213000
2007-03-27,4.4,4.65,4.4,4.65,4.65,14000
2007-03-28,4.6,4.6,4.4,4.4,4.4,206000
2007-03-29,4.3,4.3,4.3,4.3,4.3,2000
2007-03-30,4.3,4.4,4.3,4.4,4.4,88000
2007-04-02,4.4,4.4,4.3,4.3,4.3,189000
2007-04-03,4.5,4.5,4.4,4.4,4.4,52000
2007-04-04,4.5,4.6,4.5,4.6,4.6,70000
2007-04-10,4.6,4.75,4.6,4.65,4.65,337000
2007-04-11,4.7,4.75,4.7,4.75,4.75,293000
2007-04-12,4.7,4.7,4.7,4.7,4.7,32000
2007-04-13,4.65,4.65,4.55,4.55,4.55,139000
2007-04-16,4.55,4.6,4.55,4.6,4.6,110000
2007-04-17,4.6,4.65,4.6,4.6,4.6,153000
2007-04-18,4.65,4.65,4.6,4.6,4.6,336000
2007-04-19,4.6,4.6,4.55,4.55,4.55,209000
2007-04-20,4.6,4.6,4.6,4.6,4.6,305000
2007-04-23,4.5,4.5,4.5,4.5,4.5,42000
2007-04-24,4.5,4.55,4.5,4.5,4.5,85000
2007-04-25,4.4,4.45,4.4,4.45,4.45,185000
2007-04-26,4.45,4.5,4.45,4.5,4.5,110000
2007-04-27,4.5,4.55,4.5,4.55,4.55,143000
2007-04-30,4.5,4.6,4.5,4.55,4.55,318000
2007-05-02,4.6,4.7,4.6,4.65,4.65,325000
2007-05-03,4.65,4.65,4.65,4.65,4.65,55000
2007-05-04,4.6,4.65,4.6,4.65,4.65,194000
2007-05-07,4.55,4.55,4.55,4.55,4.55,46000
2007-05-08,4.55,4.65,4.55,4.6,4.6,283000
2007-05-09,4.4,4.4,4.35,4.4,4.4,82000
2007-05-10,4.4,4.4,4.35,4.35,4.35,127000
2007-05-11,4.5,4.5,4.45,4.5,4.5,122000
2007-05-15,4.55,4.55,4.45,4.45,4.45,149000
2007-05-16,4.5,4.6,4.5,4.6,4.6,526000
2007-05-17,4.65,4.7,4.65,4.65,4.65,1080000
2007-05-18,4.65,4.65,4.6,4.6,4.6,216000
2007-05-21,4.6,4.6,4.55,4.55,4.55,87000
2007-05-22,4.55,4.55,4.45,4.5,4.5,360000
2007-05-23,4.45,4.5,4.45,4.5,4.5,22000
2007-05-24,4.5,4.5,4.45,4.5,4.5,181000
2007-05-25,4.45,4.45,4.4,4.45,4.45,313000
2007-05-28,4.4,4.4,4.4,4.4,4.4,213000
2007-05-29,4.35,4.35,4.3,4.35,4.35,158000
2007-05-30,4.35,4.35,4.35,4.35,4.35,4000
2007-05-31,4.4,4.45,4.35,4.4,4.4,466000
2007-06-01,4.5,4.5,4.4,4.4,4.4,98000
2007-06-04,4.4,4.55,4.4,4.5,4.5,190000
2007-06-05,4.5,4.5,4.3,4.5,4.5,689000
2007-06-06,4.4,4.4,4.4,4.4,4.4,150000
2007-06-07,4.35,4.35,4.2,4.2,4.2,446000
2007-06-08,4.25,4.25,4.1,4.1,4.1,338000
2007-06-12,4.1,4.1,4.1,4.1,4.1,301000
2007-06-13,4.1,4.2,4.1,4.15,4.15,104000
2007-06-14,4.1,4.4,4.1,4.35,4.35,150000
2007-06-15,4.3,4.3,4.3,4.3,4.3,92000
2007-06-18,4.3,4.3,4.3,4.3,4.3,124000
2007-06-19,4.25,4.35,4.25,4.35,4.35,83000
2007-06-20,4.4,4.4,4.4,4.4,4.4,153000
2007-06-21,4.35,4.5,4.35,4.5,4.5,168000
2007-06-22,4.45,4.45,4.4,4.4,4.4,260000
2007-06-25,4.3,4.3,4.3,4.3,4.3,40000
2007-06-26,4.3,4.5,4.3,4.4,4.4,115000
2007-06-27,4.4,4.4,4.3,4.3,4.3,215000
2007-06-28,4.4,4.5,4.4,4.5,4.5,80000
2007-06-29,4.4,4.45,4.4,4.45,4.45,31000
2007-07-02,4.45,4.45,4.4,4.4,4.4,30000
2007-07-03,4.4,4.4,4.4,4.4,4.4,14000
2007-07-04,4.4,4.5,4.4,4.45,4.45,182000
2007-07-05,4.4,4.4,4.4,4.4,4.4,145000
2007-07-06,4.4,4.45,4.3,4.3,4.3,528000
2007-07-09,4.3,4.3,4.3,4.3,4.3,5000
2007-07-10,4.3,4.3,4.25,4.25,4.25,109000
2007-07-11,4.25,4.3,4.25,4.3,4.3,21000
2007-07-12,4.2,4.3,4.2,4.3,4.3,117000
2007-07-13,4.3,4.4,4.2,4.4,4.4,166000
2007-07-16,4.3,4.3,4.3,4.3,4.3,3000
2007-07-17,4.3,4.3,4.2,4.25,4.25,75000
2007-07-18,4.25,4.3,4.2,4.2,4.2,134000
2007-07-19,4.3,4.3,4.25,4.25,4.25,275000
2007-07-20,4.2,4.25,4.2,4.25,4.25,8000
2007-07-23,4.2,4.2,4.2,4.2,4.2,164000
2007-07-24,4.2,4.2,4.15,4.15,4.15,102000
2007-07-25,4.2,4.2,4.2,4.2,4.2,66000
2007-07-26,4.2,4.2,4.15,4.15,4.15,130000
2007-07-27,4.1,4.1,4.05,4.1,4.1,410000
2007-07-30,4.05,4.05,4,4,4,125000
2007-07-31,4,4.1,4,4.05,4.05,201000
2007-08-01,4,4,4,4,4,287000
2007-08-02,3.95,3.95,3.9,3.9,3.9,130000
2007-08-03,4,4.2,3.9,3.9,3.9,204000
2007-08-06,3.6,3.6,3.6,3.6,3.6,201000
2007-08-07,3.95,4,3.95,3.95,3.95,144000
2007-08-08,3.9,3.95,3.9,3.9,3.9,232000
2007-08-09,3.85,3.85,3.8,3.85,3.85,207000
2007-08-10,3.7,3.7,3.7,3.7,3.7,40000
2007-08-13,4,4,3.6,3.7,3.7,111000
2007-08-14,3.75,3.75,3.75,3.75,3.75,53000
2007-08-15,3.7,3.7,3.5,3.5,3.5,130000
2007-08-16,3.6,3.6,3.4,3.4,3.4,62000
2007-08-17,3.2,3.25,3.2,3.25,3.25,20000
2007-08-21,3.25,3.25,3.25,3.25,3.25,9000
2007-08-23,3.6,3.85,3.6,3.85,3.85,249000
2007-08-24,3.95,3.95,3.85,3.9,3.9,74000
2007-08-28,3.95,3.95,3.85,3.9,3.9,51000
2007-08-29,3.75,3.9,3.7,3.7,3.7,101000
2007-08-30,3.7,3.95,3.7,3.7,3.7,26000
2007-08-31,4.1,4.1,3.8,4,4,45000
2007-09-03,3.8,3.8,3.8,3.8,3.8,47000
2007-09-04,3.7,3.95,3.7,3.7,3.7,4000
2007-09-05,3.85,3.85,3.85,3.85,3.85,55000
2007-09-06,3.95,3.95,3.95,3.95,3.95,1000
2007-09-10,3.8,3.8,3.8,3.8,3.8,23000
2007-09-11,3.85,3.85,3.8,3.85,3.85,80000
2007-09-12,3.8,3.95,3.8,3.85,3.85,54000
2007-09-13,3.85,3.85,3.85,3.85,3.85,34000
2007-09-14,3.95,3.95,3.95,3.95,3.95,1000
2007-09-19,3.6,3.85,3.6,3.85,3.85,6000
2007-09-20,3.85,3.9,3.85,3.85,3.85,39000
2007-09-21,3.65,3.85,3.65,3.85,3.85,61000
2007-09-24,3.95,3.95,3.65,3.65,3.65,16000
2007-09-27,3.8,4.6,3.8,4.4,4.4,1390000
2007-09-28,4.4,4.4,3.9,3.9,3.9,88000
2007-10-01,3.9,4.2,3.9,4.2,4.2,986000
2007-10-02,4.3,4.35,4.2,4.25,4.25,427000
2007-10-03,4.3,4.4,4.3,4.35,4.35,165000
2007-10-04,4.3,4.3,4.25,4.3,4.3,225000
2007-10-05,4.3,4.3,4.2,4.25,4.25,296000
2007-10-08,4.25,4.25,4.2,4.2,4.2,82000
2007-10-09,4.2,4.2,4.2,4.2,4.2,327000
2007-10-10,4.2,4.95,4.2,4.7,4.7,1419000
2007-10-11,4.6,5.3,4.6,5.2,5.2,2665000
2007-10-15,5.3,5.3,5,5.3,5.3,1705000
2007-10-16,5.3,5.8,5.3,5.3,5.3,2087000
2007-10-17,5.3,5.3,5.2,5.2,5.2,536000
2007-10-18,5.2,5.3,5.2,5.2,5.2,56000
2007-10-19,5.1,5.2,5,5,5,123000
2007-10-22,4.7,4.85,4.7,4.75,4.75,427000
2007-10-23,4.9,4.9,4.85,4.85,4.85,160000
2007-10-24,4.9,4.9,4.8,4.8,4.8,279000
2007-10-25,4.8,4.8,4.75,4.8,4.8,355000
2007-10-26,4.8,4.9,4.8,4.85,4.85,188000
2007-10-30,4.85,4.85,4.7,4.75,4.75,288000
2007-10-31,4.75,4.9,4.75,4.9,4.9,184000
2007-11-05,4.85,5.1,4.85,5,5,339000
2007-11-06,5.1,5.1,5,5,5,342000
2007-11-07,5,5.2,5,5.2,5.2,765000
2007-11-08,5.1,5.3,5,5.1,5.1,632000
2007-11-09,5.1,5.1,5,5,5,650000
2007-11-12,5,5,4.85,4.9,4.9,248000
2007-11-13,4.9,4.9,4.9,4.9,4.9,10000
2007-11-14,5,5,4.85,4.85,4.85,161000
2007-11-15,4.75,4.8,4.75,4.8,4.8,433000
2007-11-16,4.7,4.7,4.7,4.7,4.7,188000
2007-11-19,4.7,4.7,4.5,4.6,4.6,687000
2007-11-20,4.3,4.3,4.1,4.3,4.3,325000
2007-11-21,4.2,4.2,4.1,4.1,4.1,62000
2007-11-22,4.1,4.1,4,4.1,4.1,126000
2007-11-23,4.2,4.2,3.95,4,4,143000
2007-11-26,4,4,3.8,3.9,3.9,232000
2007-11-27,3.9,3.9,3.85,3.9,3.9,875000
2007-11-28,3.95,3.95,3.9,3.9,3.9,261000
2007-11-29,3.9,3.9,3.75,3.75,3.75,585000
2007-12-03,3.8,3.9,3.8,3.85,3.85,470000
2007-12-04,3.85,3.9,3.75,3.85,3.85,278000
2007-12-05,3.85,4.1,3.85,4.1,4.1,502000
2007-12-06,4.2,4.35,4.2,4.25,4.25,424000
2007-12-07,4.3,4.6,4.3,4.55,4.55,596000
2007-12-10,4.45,4.45,4.2,4.3,4.3,405000
